id,day,start_ts,end_ts,timezone_offset,nap,score_state,total_in_bed_milli,total_awake_milli,total_light_milli,total_sws_milli,total_rem_milli,total_no_data_milli,sleep_cycle_count,disturbance_count,need_baseline_milli,need_from_debt_milli,need_from_strain_milli,need_from_nap_milli,respiratory_rate,sleep_performance_pct,sleep_consistency_pct,sleep_efficiency_pct,updated_at
955397d0-0b80-406c-8086-07d5d31bc8e2,2026-08-01,2026-07-31T18:24:21.950Z,2026-08-01T00:25:35.690Z,+05:30,0,SCORED,21673740.0,4150020.0,8683530.0,3789050.0,5051140.0,0.0,4,11,27264252.0,7668000.0,169516.0,0.0,16.324219,36.0,19.0,81.07676,2026-08-01T00:34:40.748Z
5355961e-5623-4a15-ba7e-a6d38e1254c1,2026-07-31,2026-07-31T00:00:49.430Z,2026-07-31T03:58:10.900Z,+05:30,0,SCORED,14241470.0,1141000.0,5585400.0,5051960.0,2463110.0,0.0,2,6,27264252.0,7668000.0,1562135.0,0.0,16.435547,29.0,34.0,91.98819,2026-07-31T04:17:13.583Z
f6b5a936-a130-489e-91d2-c242a0b0a1f3,2026-07-29,2026-07-29T23:26:05.280Z,2026-07-30T02:57:55.580Z,-07:00,0,SCORED,12710300.0,692000.0,6579080.0,2945040.0,2494180.0,0.0,3,3,27264522.0,6484466.0,1381776.0,0.0,17.096191,20.0,17.0,95.0191,2026-07-30T03:14:43.033Z
21c2dc55-8342-4566-92ca-e66dc4a26441,2026-07-28,2026-07-28T08:13:59.690Z,2026-07-28T15:14:39.560Z,-07:00,0,SCORED,25239870.0,2110150.0,11983360.0,4115140.0,7031220.0,0.0,5,10,27264658.0,5736943.0,215066.0,0.0,16.171875,81.0,78.0,91.9895,2026-07-28T15:43:06.990Z
eaa51d38-4c09-4457-841a-fcfc18f12664,2026-07-27,2026-07-27T08:08:57.430Z,2026-07-27T14:26:29.170Z,-07:00,0,SCORED,22651740.0,2671190.0,14639200.0,1710050.0,3631300.0,0.0,4,11,27264793.0,4527529.0,936392.0,-3824030.0,16.839844,76.0,65.0,88.20757,2026-07-27T14:41:28.975Z
1bb00eba-f2a6-49a2-9630-2170df655580,2026-07-26,2026-07-26T23:22:27.470Z,2026-07-27T00:26:11.500Z,-07:00,1,SCORED,3824030.0,0.0,1299990.0,1683040.0,841000.0,0.0,1,0,27264929.0,4527529.0,600669.0,0.0,18.28418,21.0,57.0,100.0,2026-07-27T02:36:33.507Z
7070b742-c44a-4766-822c-15e02b70cf91,2026-07-26,2026-07-26T07:56:56.640Z,2026-07-26T16:02:55.630Z,-07:00,0,SCORED,29158990.0,2229060.0,13570490.0,5916240.0,7443200.0,0.0,7,11,27264929.0,6437493.0,270330.0,0.0,16.464844,79.0,65.0,92.85866,2026-07-26T16:10:02.087Z
6b0edf3c-15c9-4f34-af5a-02e99dbfbee3,2026-07-25,2026-07-25T06:59:22.670Z,2026-07-25T14:45:53.760Z,-07:00,0,SCORED,27991090.0,3613060.0,14798650.0,4177140.0,5402240.0,0.0,4,13,27265064.0,6891368.0,235474.0,0.0,16.623047,76.0,61.0,87.40753,2026-07-25T14:58:25.710Z
70526a3b-bdda-4f37-b81e-b34e9edae079,2026-07-24,2026-07-24T10:04:42.470Z,2026-07-24T15:31:31.900Z,-07:00,0,SCORED,19609430.0,1623090.0,7834130.0,4805140.0,5347070.0,0.0,5,9,27265200.0,6566974.0,1795942.0,-3859040.0,16.766113,65.0,52.0,91.72291,2026-07-24T15:53:04.810Z
85ed2634-4cfa-48c2-885b-a1c780967414,2026-07-23,2026-07-23T23:58:42.520Z,2026-07-24T01:14:31.610Z,-07:00,1,SCORED,4549090.0,690050.0,2926040.0,933000.0,0.0,0.0,0,2,27265336.0,6566974.0,218274.0,0.0,17.050781,19.0,48.0,84.83103,2026-07-24T03:45:12.238Z
33b4191a-06ff-4b6d-a8d1-37390cb7d670,2026-07-23,2026-07-23T05:53:11.920Z,2026-07-23T14:01:36.670Z,-07:00,0,SCORED,29304750.0,7216010.0,10410260.0,5343240.0,6335240.0,0.0,4,3,27265336.0,7668000.0,289352.0,0.0,17.16211,52.0,58.0,75.37598,2026-07-23T14:41:27.084Z
c4ced075-acd5-489f-9ed8-a40ef552bdcc,2026-07-22,2026-07-22T09:23:09.800Z,2026-07-22T14:57:16.510Z,-07:00,0,SCORED,20046710.0,721060.0,7877340.0,5682130.0,5766180.0,0.0,3,11,27265471.0,7668000.0,241637.0,0.0,15.580078,69.0,81.0,96.4031,2026-07-22T15:43:46.650Z
d26ee6d7-c4e1-45f6-a685-05df8288083e,2026-07-21,2026-07-21T09:26:08.920Z,2026-07-21T14:53:20.630Z,-07:00,0,SCORED,19631710.0,1952000.0,7462430.0,4958090.0,5259190.0,0.0,5,8,27265607.0,7668000.0,386980.0,0.0,16.271484,60.0,70.0,90.0569,2026-07-21T15:28:16.311Z
b1c40c84-5b38-4560-8635-b530f81d6c38,2026-07-20,2026-07-20T07:31:06.190Z,2026-07-20T14:32:07.080Z,-07:00,0,SCORED,25260890.0,3181100.0,12559520.0,2823090.0,6697180.0,0.0,3,7,27265743.0,4106069.0,2667914.0,0.0,16.171875,77.0,83.0,87.40701,2026-07-20T14:47:55.883Z
b1af0011-2871-4855-81de-4b4cd7473083,2026-07-19,2026-07-19T07:41:35.440Z,2026-07-19T15:32:26.470Z,-07:00,0,SCORED,28251030.0,3755980.0,12321460.0,3246200.0,8927390.0,0.0,7,10,27265879.0,3258416.0,357974.0,0.0,16.936523,83.0,86.0,86.70498,2026-07-19T15:43:36.095Z
a29d760a-f5bf-4abc-b0aa-c7a1d405c653,2026-07-18,2026-07-18T06:49:02.380Z,2026-07-18T16:23:33.480Z,-07:00,0,SCORED,34471100.0,5323090.0,17637650.0,3186140.0,8324220.0,0.0,8,16,27266014.0,6532385.0,418258.0,0.0,16.875,79.0,79.0,84.557816,2026-07-18T16:33:41.122Z
5398372f-ad86-4593-8356-195400ec2872,2026-07-17,2026-07-17T07:17:01.530Z,2026-07-17T15:26:49.610Z,-07:00,0,SCORED,29388080.0,4625210.0,14428490.0,3486080.0,6848300.0,0.0,6,7,27266150.0,6930190.0,728017.0,0.0,16.40332,77.0,75.0,84.26161,2026-07-17T15:42:06.938Z
062ab053-e3eb-4d27-8e25-436194c001cb,2026-07-15,2026-07-15T08:12:07.640Z,2026-07-15T15:12:33.370Z,-07:00,0,SCORED,25225730.0,1895030.0,11647390.0,4988070.0,6695240.0,0.0,6,11,27266422.0,6395061.0,449513.0,0.0,16.113281,77.0,62.0,92.48771,2026-07-15T15:33:33.418Z
